Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
1	149937812	150010676	ENSG00000264522
X	47232690	47248328	ENSG00000102226
2	69013178	69249327	ENSG00000169604
10	87863113	87971930	ENSG00000171862
16	77190835	77202405	ENSG00000103111
8	7539628	7542450	ENSG00000255251
8	7495846	7509311	ENSG00000198129
19	16479067	16628204	ENSG00000141979
1	149928651	149936869	ENSG00000014914
Y	6865918	6874027	ENSG00000099721
14	64914485	65061803	ENSG00000125954
15	58138169	58185911	ENSG00000103569
14	20457719	20461612	ENSG00000165782
11	86302211	86345931	ENSG00000149196
19	17601328	17688365	ENSG00000130477
12	111443485	111599676	ENSG00000204842
1	149887524	149887916	ENSG00000184270
1	151510510	151538692	ENSG00000143375
8	7482504	7486400	ENSG00000187082
5	139408588	139444491	ENSG00000170464
X	54932961	54998534	ENSG00000158571
CHR_HSCHR2_3_CTG15	241808825	241817413	ENSG00000277926
17	36544888	36589848	ENSG00000278311
1	108970214	109042113	ENSG00000085433
1	26279176	26281522	ENSG00000142669
1	149054027	149103561	ENSG00000269713
17	47951967	47957878	ENSG00000167183
5	174045604	174243501	ENSG00000170091
12	20695355	20753386	ENSG00000139155
2	108534355	108687246	ENSG00000169756
7	55793544	55862789	ENSG00000154997
7	86876906	87059699	ENSG00000164659
1	99645943	99694541	ENSG00000099260
19	45795710	45815319	ENSG00000104941
1	156009048	156020959	ENSG00000163479
17	81712236	81721016	ENSG00000183048
17	81703371	81720539	ENSG00000262660
6	87408012	87511634	ENSG00000213204
17	29246863	29254494	ENSG00000108255
2	48529925	48776517	ENSG00000068781
8	135457457	135656722	ENSG00000131773
1	2425980	2505530	ENSG00000149527
5	150296343	150339307	ENSG00000183876
4	74114174	74303099	ENSG00000163738
19	39125770	39182816	ENSG00000130669
12	19404045	19720801	ENSG00000139154
11	1554044	1571920	ENSG00000184545
CHR_HSCHR7_3_CTG6	148217288	148419466	ENSG00000278728
9	96490241	96619830	ENSG00000081377
5	150189957	150222788	ENSG00000011083
1	43650158	43705515	ENSG00000066135
5	115267188	115296831	ENSG00000164221
6	160171061	160277638	ENSG00000112499
X	101882288	101932031	ENSG00000166432
17	997117	1003671	ENSG00000177370
CHR_HSCHR7_2_CTG6	142932365	142946922	ENSG00000276971
Y	2786855	2787699	ENSG00000184895
19	35292125	35313804	ENSG00000105695
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54819506	54828970	ENSG00000275596
19	55488404	55519098	ENSG00000179954
2	224703764	224716365	ENSG00000283428
17	60149936	60170899	ENSG00000167434
6	160121789	160158718	ENSG00000175003
6	50818723	50847613	ENSG00000008196
12	104117077	104138289	ENSG00000120837
6	42879618	42889925	ENSG00000146223
19	35704527	35717038	ENSG00000011590
CHR_HSCHR19_4_CTG3_1	54156123	54160192	ENSG00000276959
3	36380344	36548007	ENSG00000144681
1	215567392	215621807	ENSG00000136636
19	1397026	1401570	ENSG00000130005
8	67173511	67343677	ENSG00000066777
15	71110244	71115500	ENSG00000225362
17	35092208	35121522	ENSG00000185379
6	155264013	155276548	ENSG00000171217
5	178602664	178630615	ENSG00000113240
11	124673798	124697518	ENSG00000064199
15	84669538	84716716	ENSG00000140612
17	68420948	68457513	ENSG00000070540
CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54724507	54736522	ENSG00000276806
12	103237591	103496010	ENSG00000179088
1	212791828	212816626	ENSG00000203705
6	106571971	106629487	ENSG00000130347
1	966497	975865	ENSG00000187583
6	78867472	78946440	ENSG00000146243
17	78214186	78225636	ENSG00000089685
2	108288639	108309915	ENSG00000198203
9	135808487	135907228	ENSG00000130559
20	33490075	33650036	ENSG00000078699
2	30447226	30644225	ENSG00000172954
2	74532414	74555690	ENSG00000115318
11	124319238	124320288	ENSG00000279116
12	10996495	10997875	ENSG00000255837
8	81693607	81696174	ENSG00000253598
11	62748319	62754188	ENSG00000185670
12	11021619	11022620	ENSG00000212124
12	11091287	11092313	ENSG00000255374
12	55684568	55716043	ENSG00000135424
CHR_HSCHR6_MHC_MANN_CTG1	29555178	29632716	ENSG00000237051
11	124183345	124188780	ENSG00000197309
4	169392857	169612629	ENSG00000137601
3	9498361	9553802	ENSG00000156959
17	36377531	36388423	ENSG00000274226
17	36428618	36439566	ENSG00000275954
CHR_HSCHR6_MHC_MANN_CTG1	29555178	29559492	ENSG00000224654
12	10845849	10849475	ENSG00000111215
5	171782432	171796126	ENSG00000185662
12	11030387	11031407	ENSG00000256436
X	107064420	107118823	ENSG00000089682
11	119417378	119424985	ENSG00000154096
10	37601440	37602974	ENSG00000256892
18	46476972	46657220	ENSG00000167210
12	10929236	10932341	ENSG00000134551
4	55556525	55592212	ENSG00000163440
15	78540405	78552419	ENSG00000041357
17	34270221	34272242	ENSG00000108688
17	36253456	36264553	ENSG00000274933
19	8490056	8503112	ENSG00000133246
3	122909082	123028605	ENSG00000082684
6	113933028	114011308	ENSG00000196591
X	54440401	54445487	ENSG00000158526
19	52190039	52229533	ENSG00000105568
CHR_HSCHR17_7_CTG4	36324256	36335131	ENSG00000275760
10	103277163	103290351	ENSG00000148798
2	191029576	191151596	ENSG00000138378
19	48933682	48944969	ENSG00000104808
X	54445454	54496166	ENSG00000102302
12	55636860	55637854	ENSG00000175398
13	91398607	92873682	ENSG00000179399
19	35224800	35228729	ENSG00000177558
6	42050513	42087461	ENSG00000137413
12	10806051	10807293	ENSG00000121314
16	30472658	30523185	ENSG00000005844
14	56799905	56810479	ENSG00000165588
12	55469200	55470138	ENSG00000184954
16	46407	53628	ENSG00000161980
6	28080975	28089563	ENSG00000197279
CHR_HSCHR17_7_CTG4	36254011	36264925	ENSG00000282144
6	49499958	49527047	ENSG00000203972
8	42697376	42737407	ENSG00000147432
12	55549602	55555832	ENSG00000179626
5	149492197	149551552	ENSG00000113712
1	43300993	43323108	ENSG00000066056
12	55444069	55453347	ENSG00000179695
12	68610839	68671901	ENSG00000127314
11	44260440	44310166	ENSG00000052850
8	27284887	27311319	ENSG00000104228
14	75131470	75176631	ENSG00000170348
6	105158280	105179995	ENSG00000132429
2	73073382	73156721	ENSG00000135631
3	46694528	46710886	ENSG00000181585
20	46060985	46089952	ENSG00000124160
CHR_HSCHR6_MHC_MCF_CTG1	29555423	29632960	ENSG00000206466
11	85957684	86069882	ENSG00000073921
1	2050470	2185395	ENSG00000067606
6	49463378	49493107	ENSG00000031691
CHR_HSCHR6_MHC_MCF_CTG1	29587257	29588840	ENSG00000206467
3	108743424	108757384	ENSG00000163515
19	35550043	35563658	ENSG00000105675
1	44805913	44806675	ENSG00000188396
8	11993174	11996312	ENSG00000205882
9	95442980	95517057	ENSG00000185920
11	60088261	60098466	ENSG00000149534
3	38282294	38318575	ENSG00000144671
1	85729233	86156943	ENSG00000171502
11	67288547	67302485	ENSG00000172932
9	70384597	70414624	ENSG00000119138
2	222298147	222305217	ENSG00000163081
3	139019031	139020926	ENSG00000184814
12	45014672	45051099	ENSG00000185610
1	44800225	44805990	ENSG00000173846
6	70856679	70957038	ENSG00000112309
1	60865259	61462793	ENSG00000162599
1	43281883	43285617	ENSG00000253313
1	25543580	25568886	ENSG00000157978
19	45527427	45602212	ENSG00000125741
11	119355215	119381726	ENSG00000036672
1	54715822	54742657	ENSG00000243725
20	63739861	63743505	ENSG00000125520
19	45589764	45602208	ENSG00000177464
6	70667776	70862015	ENSG00000112305
2	140231423	142131701	ENSG00000168702
16	49277917	49281831	ENSG00000102924
16	401826	412487	ENSG00000242612
CHR_HSCHR19LRC_LRC_I_CTG3_1	55049943	55068836	ENSG00000276341
CHR_HSCHR19LRC_PGF2_CTG3_1	54173854	54190480	ENSG00000274194
CHR_HSCHR19LRC_COX2_CTG3_1	54107066	54115801	ENSG00000276323
CHR_HSCHR6_MHC_SSTO_CTG1	29064823	29077352	ENSG00000278450
2	207074137	207167267	ENSG00000118263
7	131500262	131558217	ENSG00000128567
12	57216795	57226449	ENSG00000182379
5	111070062	111078024	ENSG00000145777
1	247754846	247760556	ENSG00000221888
12	48921963	48939663	ENSG00000255863
14	100238298	100282792	ENSG00000100811
1	247711436	247716646	ENSG00000169214
1	246724047	246768137	ENSG00000143653
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54850408	54867186	ENSG00000278710
19	16661127	16690029	ENSG00000072954
CHR_HSCHR6_MHC_MANN_CTG1	32723350	32757450	ENSG00000229074
12	48829764	48852842	ENSG00000174243
6	133988697	134052636	ENSG00000146411
7	98214624	98252251	ENSG00000205356
7	98211427	98212979	ENSG00000180535
1	154697455	154870280	ENSG00000143603
7	97984684	97991169	ENSG00000135175
15	59659146	59689534	ENSG00000140299
1	160739057	160754821	ENSG00000026751
6	109978256	109980718	ENSG00000146360
9	104598457	104599413	ENSG00000277556
19	41907705	41928516	ENSG00000268041
4	155854738	155920406	ENSG00000151790
12	8058302	8066471	ENSG00000171860
5	133051962	133106449	ENSG00000170606
CHR_HSCHR6_MHC_MANN_CTG1	32220356	32223712	ENSG00000229058
2	99400475	99490035	ENSG00000135945
2	79085030	79088019	ENSG00000172023
13	49995888	50020481	ENSG00000204977
15	79833585	79897379	ENSG00000136371
16	1962052	1964860	ENSG00000140988
10	104235356	104267459	ENSG00000148834
15	79311062	79427432	ENSG00000166557
1	158605268	158612514	ENSG00000198967
2	98793846	98936259	ENSG00000196872
12	29500840	29784759	ENSG00000133687
12	114353931	114408442	ENSG00000089225
7	128392277	128410252	ENSG00000106348
6	158972871	159000187	ENSG00000130363
1	68474152	68497221	ENSG00000024526
5	140558268	140564781	ENSG00000113108
20	58981208	58995133	ENSG00000101158
14	96255824	96268967	ENSG00000100739
17	37375986	37392708	ENSG00000278505
17	69244311	69327244	ENSG00000154265
14	96039324	96093889	ENSG00000227051
12	113422237	113438276	ENSG00000139410
4	87650307	87664361	ENSG00000152592
15	72266746	72319946	ENSG00000273025
1	173183734	173207313	ENSG00000117586
X	77910656	78050395	ENSG00000165240
7	96120220	96322147	ENSG00000004864
16	18983934	19063942	ENSG00000170537
1	231332753	231337852	ENSG00000116903
12	69825304	69959097	ENSG00000166268
12	29149103	29340980	ENSG00000064763
CHR_HSCHR6_MHC_SSTO_CTG1	32670593	32703817	ENSG00000228080
15	78959947	79090773	ENSG00000058335
6	166999182	167094789	ENSG00000213066
1	153947669	153958625	ENSG00000160741
19	41397460	41425005	ENSG00000248098
9	15553086	16061663	ENSG00000164989
CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54816499	54830812	ENSG00000275786
19	57681969	57717301	ENSG00000204519
14	21633836	21634940	ENSG00000255582
13	52132639	52159861	ENSG00000136098
1	169921326	170085208	ENSG00000075945
7	6104884	6161564	ENSG00000106346
9	101569353	101738580	ENSG00000198785
1	153728067	153774808	ENSG00000143624
CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54803535	54814517	ENSG00000275699
1	100186919	100249834	ENSG00000137992
19	38251237	38256591	ENSG00000167641
5	179678583	179680974	ENSG00000204659
7	130380339	130388114	ENSG00000091704
1	100148449	100178273	ENSG00000122477
6	89642499	89819723	ENSG00000112159
12	109347903	109455523	ENSG00000174527
19	676365	683399	ENSG00000070404
4	56505209	56525481	ENSG00000196503
19	23221599	23250390	ENSG00000196081
8	65602456	65634217	ENSG00000104442
1	153627926	153632039	ENSG00000160678
2	215360440	215436172	ENSG00000115414
3	141324213	141449792	ENSG00000177311
4	75479037	75514764	ENSG00000163743
9	101533851	101563344	ENSG00000155827
15	45023104	45077185	ENSG00000140263
1	153203443	153205120	ENSG00000203784
CHR_HSCHR6_MHC_SSTO_CTG1	32198436	32203193	ENSG00000234508
15	58588807	58749978	ENSG00000137845
12	108907741	109021240	ENSG00000166111
1	156337314	156346995	ENSG00000163467
19	57454790	57457142	ENSG00000178201
19	57389850	57402992	ENSG00000188785
1	15526813	15592379	ENSG00000116138
14	52430590	52552522	ENSG00000087301
1	26693236	26782110	ENSG00000117713
1	152510844	152512177	ENSG00000186207
4	99636529	99654648	ENSG00000248713
19	57435329	57445485	ENSG00000186230
1	152514502	152516010	ENSG00000169509
19	57363511	57365353	ENSG00000256060
1	152565654	152566772	ENSG00000185966
15	90883695	90895776	ENSG00000182511
4	99816833	99870154	ENSG00000070190
1	152579381	152580504	ENSG00000163202
19	57466663	57477570	ENSG00000197128
4	86935002	87141054	ENSG00000172493
17	45263119	45317145	ENSG00000006062
1	152600662	152601086	ENSG00000244057
CHR_HSCHR6_MHC_APD_CTG1	32781927	32787758	ENSG00000233192
1	152613811	152614098	ENSG00000187238
1	19682213	19799945	ENSG00000162542
10	88761406	88778242	ENSG00000204020
1	152622834	152623103	ENSG00000185962
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54754600	54768961	ENSG00000273578
1	152663396	152664659	ENSG00000187223
8	7881204	7882664	ENSG00000176797
1	152675295	152676574	ENSG00000187180
19	22752183	22784107	ENSG00000213973
1	166895711	166975482	ENSG00000143195
19	1481428	1490752	ENSG00000115257
19	1490747	1497927	ENSG00000115255
1	151847263	151853697	ENSG00000196407
17	39200283	39204732	ENSG00000108298
17	19678288	19718979	ENSG00000180638
19	10566462	10569059	ENSG00000129355
10	122849078	122879641	ENSG00000213185
1	165662216	165698863	ENSG00000143149
CHR_HSCHR6_MHC_MANN_CTG1	32207600	32217484	ENSG00000227642
13	20221962	20232395	ENSG00000121742
7	138797952	138838101	ENSG00000214128
4	74445134	74455009	ENSG00000109321
1	164555584	164899296	ENSG00000185630
3	193593144	193697823	ENSG00000198836
21	5130871	5154734	ENSG00000275464
5	78997606	79236038	ENSG00000132837
1	162824458	162868815	ENSG00000185860
1	150149183	150164720	ENSG00000023902
19	43596617	43614497	ENSG00000226763
16	69355561	69408571	ENSG00000132604
12	122207663	122226568	ENSG00000184047
12	122207779	122266423	ENSG00000256861
CHR_HSCHR6_MHC_DBB_CTG1	31136168	31151940	ENSG00000206355
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54754729	54769262	ENSG00000278692
12	5531869	5946232	ENSG00000047617
12	71674204	71698968	ENSG00000258064
3	52221080	52226163	ENSG00000239732
2	227610090	227648606	ENSG00000042304
20	36889773	36951901	ENSG00000101347
6	31530219	31542448	ENSG00000198563
12	110280756	110351093	ENSG00000174437
1	148808181	149048286	ENSG00000178104
4	109713916	109801999	ENSG00000285330
1	19282558	19289250	ENSG00000162482
CHR_HSCHR6_MHC_MCF_CTG1	29719887	29722948	ENSG00000234487
1	86914648	87109998	ENSG00000153936
17	44924709	44947711	ENSG00000186185
10	69220303	69267559	ENSG00000156510
15	78810487	78898133	ENSG00000185787
2	241072169	241102332	ENSG00000122085
16	527717	554636	ENSG00000103326
2	48314637	48379294	ENSG00000170802
6	28324693	28356271	ENSG00000235109
19	54572920	54590287	ENSG00000239998
14	39147811	39170532	ENSG00000182400
2	224378698	224402085	ENSG00000124019
16	84009667	84042636	ENSG00000166558
22	41833079	41907308	ENSG00000198911
10	103396626	103446292	ENSG00000148843
1	45012147	45015575	ENSG00000126088
20	63005927	63007035	ENSG00000125533
14	103519659	103523111	ENSG00000166165
12	102073103	102120124	ENSG00000075188
19	4229498	4237531	ENSG00000105246
2	233636454	233773305	ENSG00000242515
4	118722823	118838683	ENSG00000150961
17	48908369	48929056	ENSG00000159202
1	86424086	86456558	ENSG00000137975
6	78935867	79078236	ENSG00000146247
11	60185702	60317944	ENSG00000110079
17	47831627	47837713	ENSG00000141294
5	132073790	132076170	ENSG00000164400
CHR_HSCHR6_MHC_MCF_CTG1	32047618	32057890	ENSG00000226033
8	42836674	42843325	ENSG00000131931
1	210858125	211134146	ENSG00000284299
17	47837692	47841333	ENSG00000141295
5	5140330	5320304	ENSG00000145536
6	49692358	49713590	ENSG00000124490
10	23439458	23442390	ENSG00000165312
7	149239651	149255609	ENSG00000170260
9	100302077	100352939	ENSG00000136891
14	91779751	91867536	ENSG00000165929
14	88824153	88881078	ENSG00000165533
17	11977439	11997510	ENSG00000154957
4	118685368	118715433	ENSG00000145388
11	101915015	102001058	ENSG00000110318
5	132060529	132063204	ENSG00000164399
CHR_HSCHR6_MHC_SSTO_CTG1	32186026	32188465	ENSG00000227277
17	7402975	7404137	ENSG00000205544
16	83948282	83966332	ENSG00000140961
17	7389734	7404097	ENSG00000262481
17	34360328	34363231	ENSG00000108702
8	63048553	63086053	ENSG00000137561
16	83899126	83927026	ENSG00000103150
2	97655963	97664107	ENSG00000115073
6	55434369	55579214	ENSG00000146151
16	21952660	21983660	ENSG00000140740
9	123379654	123930152	ENSG00000119522
X	107123427	107206433	ENSG00000198088
4	77862520	77952790	ENSG00000169288
X	101615118	101618001	ENSG00000198960
4	73571550	73620631	ENSG00000169435
16	1770286	1771730	ENSG00000103024
7	83363238	83649113	ENSG00000170381
2	191245185	191425389	ENSG00000128641
17	34356452	34358610	ENSG00000181374
18	74434099	74457944	ENSG00000187773
3	108907792	108953895	ENSG00000138472
3	129647792	129893606	ENSG00000172765
17	7389727	7394843	ENSG00000187838
17	34319036	34321402	ENSG00000108700
19	48965301	48966878	ENSG00000087086
14	75427716	75474111	ENSG00000140044
1	36339624	36385896	ENSG00000196182
13	94436808	94479682	ENSG00000080166
2	39175646	39229588	ENSG00000205111
12	25204789	25250936	ENSG00000133703
17	11598431	11969748	ENSG00000007174
20	46118272	46129863	ENSG00000101017
16	28097979	28211920	ENSG00000169180
8	63015079	63039171	ENSG00000137563
7	30771417	30892387	ENSG00000106125
3	46712115	46812574	ENSG00000206549
17	38869859	38921770	ENSG00000002834
9	137220247	137221581	ENSG00000212864
3	46712115	46717907	ENSG00000283706
7	30697985	30757602	ENSG00000241644
6	85607785	85643792	ENSG00000135316
7	30852273	30923812	ENSG00000250424
10	70432315	70447951	ENSG00000156574
9	114893343	114930595	ENSG00000106952
5	144170832	144485686	ENSG00000183775
19	36687612	36727701	ENSG00000189042
3	183635568	183684477	ENSG00000114796
CHR_HSCHR5_2_CTG1_1	70670918	70783123	ENSG00000273873
14	91457611	91510554	ENSG00000100796
20	62877738	62937952	ENSG00000101191
16	83807843	83819737	ENSG00000230989
16	30534227	30558279	ENSG00000260869
16	30553764	30558498	ENSG00000169951
3	120596309	120602500	ENSG00000065518
8	41645178	41650669	ENSG00000165066
3	129555175	129606818	ENSG00000004399
8	98189833	98294393	ENSG00000104361
14	103385392	103503831	ENSG00000075413
17	76309486	76384521	ENSG00000161542
CHR_HSCHR6_MHC_MANN_CTG1	29587046	29588629	ENSG00000227044
X	126819764	126821786	ENSG00000183631
2	152335237	152649834	ENSG00000157827
10	70404379	70428618	ENSG00000148730
9	130902438	130939286	ENSG00000130720
18	74315813	74359187	ENSG00000206043
10	113854661	113917194	ENSG00000196865
22	35299275	35347994	ENSG00000100284
CHR_HSCHR5_2_CTG1_1	70182128	70214752	ENSG00000274675
13	51082119	51200252	ENSG00000226792
5	149371324	149404202	ENSG00000127743
1	39955112	39969968	ENSG00000168389
1	85580761	85583962	ENSG00000142871
5	1801400	1816605	ENSG00000145494
16	67846732	67872567	ENSG00000102898
8	6499651	6563409	ENSG00000091879
15	22838641	22868384	ENSG00000140157
1	84999147	85133138	ENSG00000162643
4	169094256	169271105	ENSG00000154447
7	73799542	73832693	ENSG00000189143
X	30653359	30731456	ENSG00000198814
6	69866571	70209976	ENSG00000082293
5	1456480	1523977	ENSG00000153395
17	19337554	19378193	ENSG00000108641
1	59296638	59810647	ENSG00000172456
19	11089362	11133816	ENSG00000130164
3	131013875	131027649	ENSG00000034533
2	106391290	106468376	ENSG00000153165
22	35066136	35087387	ENSG00000175329
9	135702185	135795508	ENSG00000107147
11	123939543	123940637	ENSG00000171014
11	123942785	123943873	ENSG00000181499
3	88149743	88168729	ENSG00000179021
11	123976661	123977781	ENSG00000196248
7	73834590	73842535	ENSG00000165171
3	88059274	88144665	ENSG00000175105
17	78146353	78166177	ENSG00000187997
6	31164337	31180731	ENSG00000204531
2	30146941	30160533	ENSG00000119801
17	38765689	38800126	ENSG00000276293
11	123994163	123995161	ENSG00000198674
2	137964020	138016364	ENSG00000150540
3	88051944	88149885	ENSG00000163320
11	124012997	124018732	ENSG00000254737
11	124023013	124023948	ENSG00000236981
11	124026798	124030634	ENSG00000234560
7	42916857	42932223	ENSG00000106588
6	69675793	69867236	ENSG00000168216
10	87020306	87024730	ENSG00000188100
11	124036013	124041325	ENSG00000182634
CHR_HSCHR6_MHC_COX_CTG1	31567961	31569928	ENSG00000204487
2	112973203	112985665	ENSG00000136688
17	78168558	78173527	ENSG00000108639
15	41182725	41230743	ENSG00000178997
7	73861159	73865893	ENSG00000175877
1	32680360	32703596	ENSG00000162520
14	103123442	103137439	ENSG00000185215
10	86958618	86963260	ENSG00000173267
12	32399529	32646050	ENSG00000139132
CHR_HSCHR5_2_CTG1_1	69673667	69702549	ENSG00000277773
7	30594681	30634033	ENSG00000106105
3	14112077	14124870	ENSG00000163528
11	85855101	85920021	ENSG00000150676
19	35523367	35528351	ENSG00000189001
10	86968192	86983934	ENSG00000148671
5	74627406	74641424	ENSG00000171617
7	42932200	42948958	ENSG00000106591
15	70881342	70892785	ENSG00000129028
10	121740421	121928801	ENSG00000107669
10	86935540	86969481	ENSG00000173269
7	42909273	42932174	ENSG00000256646
22	21466423	21471269	ENSG00000206140
15	70853239	71053657	ENSG00000137821
11	44065925	44084222	ENSG00000110455
7	30497077	30550761	ENSG00000281039
7	42908726	42912305	ENSG00000136197
12	10699089	10723312	ENSG00000060138
6	27893463	27893843	ENSG00000274641
3	49940007	50100045	ENSG00000004534
7	30496621	30504844	ENSG00000006625
3	37052656	37183689	ENSG00000093167
5	74721204	74767371	ENSG00000164347
6	146027646	146437598	ENSG00000152822
12	16188485	16277685	ENSG00000188991
3	183178043	183428778	ENSG00000053524
1	44775251	44778779	ENSG00000142937
4	108742040	108763054	ENSG00000164089
16	31090842	31095980	ENSG00000167397
CHR_HSCHR6_MHC_COX_CTG1	32129439	32132795	ENSG00000234729
10	113679162	113730907	ENSG00000165806
18	36108532	36129385	ENSG00000141424
14	37197913	37552361	ENSG00000151338
1	207454230	207489895	ENSG00000117322
16	31083425	31089628	ENSG00000151006
15	44537057	44563029	ENSG00000104131
5	177992235	177996242	ENSG00000175325
6	154154496	154356792	ENSG00000074706
18	80157232	80247546	ENSG00000178184
16	31074422	31084196	ENSG00000167395
14	70722526	70809534	ENSG00000006432
CHR_HSCHR6_MHC_COX_CTG1	31752967	31764655	ENSG00000227144
16	31083439	31094956	ENSG00000255439
6	112236806	112350094	ENSG00000281613
4	77047158	77076005	ENSG00000118816
CHR_HSCHR6_MHC_QBL_CTG1	31576352	31579139	ENSG00000206433
14	74881891	74903745	ENSG00000119689
2	131476093	131482934	ENSG00000075886
4	26481400	26490462	ENSG00000163394
19	11131520	11155808	ENSG00000161888
2	113005461	113008044	ENSG00000136694
2	131464900	131492743	ENSG00000173272
8	66667615	66685564	ENSG00000213865
3	138944224	138947140	ENSG00000183770
3	119294373	119420714	ENSG00000031081
CHR_HSCHR6_MHC_MANN_CTG1	29456712	29463860	ENSG00000224395
9	129094810	129111189	ENSG00000095321
8	66667596	66862022	ENSG00000104205
19	51927147	51948759	ENSG00000176024
X	50910784	50916607	ENSG00000130385
8	143612618	143618048	ENSG00000104522
CHR_HSCHR6_MHC_MANN_CTG1	29486298	29487434	ENSG00000228377
15	28111040	28322152	ENSG00000128731
16	30407297	30431108	ENSG00000179965
15	89748661	89751310	ENSG00000166823
5	143277931	143435512	ENSG00000113580
1	207496147	207641765	ENSG00000203710
16	30423619	30430075	ENSG00000179958
3	183253244	183298504	ENSG00000176597
7	81946444	82443798	ENSG00000153956
19	51964343	51986856	ENSG00000256683
5	74766991	74780113	ENSG00000164346
5	178006405	178055559	ENSG00000204677
2	113022091	113052867	ENSG00000136696
4	77157151	77433388	ENSG00000138764
11	34853094	34916499	ENSG00000149089
6	27911185	27912396	ENSG00000168131
1	35808172	35857890	ENSG00000134698
5	74640023	74722647	ENSG00000049860
2	241551424	241574138	ENSG00000176720
4	61201258	62078335	ENSG00000150471
15	89760591	89778754	ENSG00000188095
6	146543693	146554965	ENSG00000118508
16	21834569	21880827	ENSG00000185864
16	68530090	68576072	ENSG00000184939
1	50417550	50423500	ENSG00000142700
2	113058638	113065382	ENSG00000136695
12	54630811	54634895	ENSG00000135413
1	85156873	85201046	ENSG00000097096
14	56488354	56650606	ENSG00000070269
14	50108632	50116600	ENSG00000100483
1	85249953	85259672	ENSG00000162642
11	34915829	35020591	ENSG00000110435
2	120240064	120294713	ENSG00000144118
19	48813017	48836678	ENSG00000087076
22	31618491	31662432	ENSG00000241878
14	24505353	24508265	ENSG00000092009
X	54068324	54183281	ENSG00000184083
1	50437028	50960263	ENSG00000185104
8	39584489	39730064	ENSG00000168619
14	63597039	63641861	ENSG00000140006
19	51991332	52008230	ENSG00000197619
18	10666483	11148762	ENSG00000154864
CHR_HSCHR6_MHC_MCF_CTG1	31728695	31734489	ENSG00000226215
11	83156988	83187451	ENSG00000165494
14	63684214	63728039	ENSG00000126821
3	185506262	185552613	ENSG00000163898
12	54644591	54648493	ENSG00000161634
6	154010496	154246867	ENSG00000112038
14	24573522	24576260	ENSG00000100448
9	135561756	135566955	ENSG00000122133
22	24181259	24189110	ENSG00000099994
6	104728093	104859919	ENSG00000085382
3	49416777	49429314	ENSG00000283189
CHR_HSCHR6_MHC_QBL_CTG1	31579125	31583213	ENSG00000206430
10	70202830	70233911	ENSG00000180817
12	16347142	16609259	ENSG00000008394
5	74777574	74866951	ENSG00000198780
10	68956128	68985073	ENSG00000165732
CHR_HSCHR6_MHC_SSTO_CTG1	31153422	31159096	ENSG00000234674
14	24630954	24634267	ENSG00000100453
12	54830519	54858393	ENSG00000172551
11	8224304	8268716	ENSG00000166407
15	70829130	70854159	ENSG00000166173
CHR_HSCHR6_MHC_MCF_CTG1	31715314	31728984	ENSG00000234651
18	74073353	74147865	ENSG00000141665
9	128166064	128204383	ENSG00000148337
17	59893046	59950564	ENSG00000108443
16	28499362	28512051	ENSG00000197272
19	48837097	48868632	ENSG00000105559
2	74505043	74508580	ENSG00000115289
19	40379271	40390187	ENSG00000160396
22	31399523	31530634	ENSG00000185721
11	74000281	74009435	ENSG00000175564
1	39895426	39902256	ENSG00000116990
6	27957241	27958182	ENSG00000124657
14	103333544	103345025	ENSG00000100664
CHR_HSCHR6_MHC_QBL_CTG1	32125820	32135704	ENSG00000206324
19	40348456	40380439	ENSG00000105223
14	24606480	24609699	ENSG00000100450
12	16548373	16610594	ENSG00000048540
11	83193739	83260694	ENSG00000137494
8	27235323	27258420	ENSG00000015592
11	124115362	124147721	ENSG00000110002
11	128965060	129279324	ENSG00000134909
11	46380756	46383837	ENSG00000110492
X	101349447	101390796	ENSG00000010671
14	74903954	74923396	ENSG00000198208
3	15667236	15859771	ENSG00000206560
10	93612588	93666010	ENSG00000095464
19	36334453	36379199	ENSG00000142065
X	51332231	51337525	ENSG00000122824
9	70258962	70354888	ENSG00000198887
Y	13985772	13986513	ENSG00000129864
3	119429500	119468830	ENSG00000176142
15	92393828	92468728	ENSG00000140557
22	31488688	31618586	ENSG00000198089
19	36383120	36418656	ENSG00000181007
Y	14056217	14056958	ENSG00000129862
X	51406915	51408843	ENSG00000187690
11	44095549	44245429	ENSG00000151348
4	73431138	73456174	ENSG00000081051
17	11241263	11564063	ENSG00000188803
2	241637213	241673857	ENSG00000168397
11	64305572	64316743	ENSG00000173153
14	50117120	50231558	ENSG00000100485
11	83259097	83286407	ENSG00000137500
17	59952240	59964761	ENSG00000189050
15	41230839	41281890	ENSG00000187446
16	27203495	27221768	ENSG00000155666
5	178113443	178126087	ENSG00000145911
17	76265202	76271299	ENSG00000185262
1	59814786	59876378	ENSG00000134709
16	28532708	28539174	ENSG00000176046
